"","GT","Expert1","Expert2","Expert3","Expert4","Beginner1","Beginner2","Beginner3","EqualWeight","ExpertBeginner1","ExpertBeginner2","ExpertBeginner3","MV1","MV2","someGT","IterAlg1LDA","IterAlg2LDA","IterAlg1QDA","IterAlg1EDDA","IterAlg2EDDA"
"LDA","0.047","0.128","0.145","0.110","0.117","0.142","0.171","0.132","0.072","0.072","0.074","0.076","0.069","0.069","0.076","0.073","0.069","0.076","0.073","0.069"
"QDA","0.047","0.129","0.091","0.113","0.104","0.116","0.138","0.120","0.082","0.083","0.085","0.087","0.084","0.081","0.081","0.079","0.079","0.082","0.079","0.079"
"EDDA","0.047","0.108","0.126","0.111","0.102","0.129","0.156","0.115","0.072","0.072","0.074","0.076","0.069","0.069","0.076","0.073","0.069","0.076","0.073","0.069"
