"","GT","Expert1","Expert2","Expert3","Expert4","Beginner1","Beginner2","Beginner3","EqualWeight","ExpertBeginner1","ExpertBeginner2","ExpertBeginner3","MV1","MV2","someGT","IterAlg1LDA","IterAlg2LDA","IterAlg1QDA","IterAlg1EDDA","IterAlg2EDDA"
"LDA","0.046","0.121","0.132","0.107","0.105","0.149","0.151","0.124","0.066","0.061","0.060","0.059","0.066","0.070","0.065","0.064","0.066","0.068","0.064","0.066"
"QDA","0.045","0.114","0.098","0.101","0.106","0.110","0.157","0.114","0.096","0.090","0.094","0.095","0.092","0.092","0.085","0.091","0.092","0.091","0.091","0.092"
"EDDA","0.049","0.119","0.116","0.100","0.113","0.124","0.153","0.123","0.066","0.062","0.062","0.061","0.067","0.071","0.063","0.065","0.067","0.068","0.064","0.067"
