"","GT","Expert1","Expert2","Expert3","Expert4","Beginner1","Beginner2","Beginner3","EqualWeight","ExpertBeginner1","ExpertBeginner2","ExpertBeginner3","MV1","MV2","someGT","IterAlg1LDA","IterAlg2LDA","IterAlg1QDA","IterAlg1EDDA","IterAlg2EDDA"
"LDA","0.859","0.705","0.718","0.693","0.725","0.613","0.656","0.650","0.727","0.734","0.741","0.747","0.728","0.726","0.724","0.725","0.723","0.729","0.726","0.723"
"QDA","0.880","0.655","0.691","0.655","0.683","0.579","0.583","0.573","0.716","0.717","0.715","0.709","0.715","0.714","0.712","0.720","0.720","0.715","0.720","0.720"
"EDDA","0.871","0.652","0.671","0.637","0.672","0.550","0.571","0.566","0.726","0.733","0.740","0.745","0.727","0.725","0.720","0.726","0.723","0.728","0.725","0.723"
